17,Joel,Sanchez,Baltazar,Casado,CURP123,1/10/1975,0,"Puebla, Pue",1212312,SABJ7501107X1,"DOMICILIO CONOCIDO, COLONIA CENTRO",,,,,0,64000,1,17715828,2147483647,joel.sanchez@sanchezrodriguez.com,Primar,1,0,01 - UMF Centro,Banorte,0,1,0,0,0,0,0,0,1
1,123,documents/ALFA SA DE CV/Joel-1975-01-10/OC 4590045135 (1).pdf,1,123,,1,123,,1,123,,A,,,,,,,,,,,,,,,,,,,,,,,
REF 1,DOM 1,0,1 año,NOM 2,DOM 2,0,0:00:00,NOM 3,DOM 3,0,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,
PADRE,1,NO,OCUPACION PADRE,MADRE,1,0,OCUPACION MADRE,ESPOSO,1,ESPOSO DPENDE,ESPOSO OCUPACION,HIJO 1,1,1,HIJO OCUPACION,HIJO 2,1,NO,HIJO 2 OCUPACION,,,,,,,,,,,,,,,,
1,1,1,1,1,123,1,1,0,1,1,0,0,BANORTE,0,123,0,0,0,0,0,0,123,123,123,123,123,123,123,123,,,,,,
0,0,0,1,1,0,"2,3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
PRIMARIA,NUEVO LEON,1,CERTIFICADO,SECUNDARIA,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
BENE 1,APELLIDO 1,MATERNO,PARENTESCO,0000-00-00,DIRE,CASADO,RFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2013,4,5,2016,7,8,2019,10,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Joel,Sanchez,Baltazar,Casado,CURP123,1/10/1975,0,"Puebla, Pue",1212312,SABJ7501107X1,"DOMICILIO CONOCIDO, COLONIA CENTRO",,,,,0,64000,1,17715828,2147483647,joel.sanchez@sanchezrodriguez.com,Primar,1,0,01 - UMF Centro,Banorte,0,1,0,0,0,0,0,0,1
1,123,documents/ALFA SA DE CV/Joel-1975-01-10/OC 4590045135 (1).pdf,1,123,,1,123,,1,123,,A,,,,,,,,,,,,,,,,,,,,,,,
REF 1,DOM 1,0,1 año,NOM 2,DOM 2,0,0:00:00,NOM 3,DOM 3,0,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,
PADRE,1,NO,OCUPACION PADRE,MADRE,1,0,OCUPACION MADRE,ESPOSO,1,ESPOSO DPENDE,ESPOSO OCUPACION,HIJO 1,1,1,HIJO OCUPACION,HIJO 2,1,NO,HIJO 2 OCUPACION,,,,,,,,,,,,,,,,
1,1,1,1,1,123,1,1,0,1,1,0,0,BANORTE,0,123,0,0,0,0,0,0,123,123,123,123,123,123,123,123,,,,,,
0,0,0,1,1,0,"2,3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
PRIMARIA,NUEVO LEON,1,CERTIFICADO,SECUNDARIA,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
BENE 1,APELLIDO 1,MATERNO,PARENTESCO,0000-00-00,DIRE,CASADO,RFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2013,4,5,2016,7,8,2019,10,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Joel,Sanchez,Baltazar,Casado,CURP123,1/10/1975,0,"Puebla, Pue",1212312,SABJ7501107X1,"DOMICILIO CONOCIDO, COLONIA CENTRO",,,,,0,64000,1,17715828,2147483647,joel.sanchez@sanchezrodriguez.com,Primar,1,0,01 - UMF Centro,Banorte,0,1,0,0,0,0,0,0,1
1,123,documents/ALFA SA DE CV/Joel-1975-01-10/OC 4590045135 (1).pdf,1,123,,1,123,,1,123,,A,,,,,,,,,,,,,,,,,,,,,,,
REF 1,DOM 1,0,1 año,NOM 2,DOM 2,0,0:00:00,NOM 3,DOM 3,0,0:00:00,,,,,,,,,,,,,,,,,,,,,,,,
PADRE,1,NO,OCUPACION PADRE,MADRE,1,0,OCUPACION MADRE,ESPOSO,1,ESPOSO DPENDE,ESPOSO OCUPACION,HIJO 1,1,1,HIJO OCUPACION,HIJO 2,1,NO,HIJO 2 OCUPACION,,,,,,,,,,,,,,,,
1,1,1,1,1,123,1,1,0,1,1,0,0,BANORTE,0,123,0,0,0,0,0,0,123,123,123,123,123,123,123,123,,,,,,
0,0,0,1,1,0,"2,3,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,
PRIMARIA,NUEVO LEON,1,CERTIFICADO,SECUNDARIA,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
BENE 1,APELLIDO 1,MATERNO,PARENTESCO,0000-00-00,DIRE,CASADO,RFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,2013,4,5,2016,7,8,2019,10,,,,,,,,,,,,,,,,,,,,,,,,,,
